fold,accuracy,auc,f1
1,0.8421052631578947,0.9,0.9032258064516129
2,0.631578947368421,0.6025641025641026,0.7586206896551724
3,0.5263157894736842,0.46153846153846156,0.5714285714285714
4,0.5789473684210527,0.5595238095238095,0.6923076923076923
5,0.5789473684210527,0.5909090909090909,0.6666666666666666
6,0.6842105263157895,0.6857142857142857,0.8125
7,0.47368421052631576,0.43333333333333335,0.6153846153846154
8,0.631578947368421,0.5897435897435898,0.7586206896551724
9,0.631578947368421,0.5555555555555556,0.72
10,0.631578947368421,0.7428571428571429,0.7407407407407407
