fold,dataset,accuracy,auc,f1,acc_0,acc_1,sample_count
1,A,0.5142857142857142,0.7210144927536232,0.5142857142857142,0.75,0.391304347826087,35
1,B,1.0,1.0,1.0,1.0,1.0,5
1,C,0.5,0.5757575757575757,0.4444444444444444,0.5454545454545454,0.4444444444444444,20
2,A,0.7777777777777778,0.8238636363636364,0.8235294117647058,0.6363636363636364,0.875,27
2,B,0.3333333333333333,0.2857142857142857,0.2,0.6,0.14285714285714285,12
2,C,0.38095238095238093,0.4636363636363636,0.3157894736842105,0.45454545454545453,0.3,21
3,A,0.6176470588235294,0.5916955017301038,0.6486486486486487,0.5294117647058824,0.7058823529411765,34
3,B,0.5833333333333334,0.6285714285714287,0.5454545454545454,0.5714285714285714,0.6,12
3,C,0.7142857142857143,0.6222222222222222,0.8181818181818182,0.2,1.0,14
4,A,0.48148148148148145,0.6357142857142857,0.5625,0.5714285714285714,0.45,27
4,B,0.5,0.5142857142857142,0.4,0.8,0.2857142857142857,12
4,C,0.8095238095238095,0.8375,0.8666666666666667,0.8,0.8125,21
5,A,0.7666666666666667,0.611111111111111,0.851063829787234,0.5,0.8333333333333334,30
5,B,0.38461538461538464,0.4722222222222222,0.42857142857142855,0.5,0.3333333333333333,13
5,C,0.7647058823529411,0.8181818181818181,0.8181818181818182,0.6666666666666666,0.8181818181818182,17
6,A,0.7391304347826086,0.8725490196078431,0.7857142857142857,1.0,0.6470588235294118,23
6,B,0.5263157894736842,0.5952380952380953,0.5263157894736842,0.7142857142857143,0.4166666666666667,19
6,C,0.6666666666666666,0.688888888888889,0.7692307692307693,0.6666666666666666,0.6666666666666666,18
7,A,0.6666666666666666,0.6923076923076924,0.6666666666666666,0.7272727272727273,0.6153846153846154,24
7,B,0.3333333333333333,0.24999999999999994,0.0,0.6666666666666666,0.0,12
7,C,0.5,0.171875,0.6666666666666666,0.0,0.75,24
8,A,0.6285714285714286,0.644927536231884,0.6976744186046512,0.5833333333333334,0.6521739130434783,35
8,B,0.625,0.6666666666666666,0.5714285714285714,0.6,0.6666666666666666,8
8,C,0.7058823529411765,0.5151515151515151,0.8,0.3333333333333333,0.9090909090909091,17
9,A,0.5,0.6708333333333333,0.5294117647058824,0.5833333333333334,0.45,32
9,B,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,9
9,C,0.7368421052631579,0.7142857142857143,0.8148148148148148,0.6,0.7857142857142857,19
10,A,0.75,0.8958333333333333,0.7741935483870968,0.75,0.75,28
10,B,0.5,0.5142857142857142,0.5,0.6,0.42857142857142855,12
10,C,0.7368421052631579,0.6857142857142857,0.8275862068965517,0.4,0.8571428571428571,19
