Feature,Mean_ABS_SHAP
Feature2,0.029598674154840413
Feature49,0.027220862219110128
Feature52,0.02578554147233566
Feature1,0.02243268839083612
Feature6,0.02053160581272096
Feature54,0.0201604482329761
Feature45,0.01775257335975766
Feature56,0.0174221092214187
Feature53,0.017148012101339795
Feature50,0.016402762848883864
Feature55,0.015457666129805148
Feature57,0.014608424700175721
Feature61,0.013115836889483038
Feature3,0.01240657087570677
Feature4,0.012373737602805102
Feature39,0.011839968850836156
Feature41,0.011071626562625171
Feature10,0.010643525437141458
Feature28,0.01063254048737387
Feature63,0.010460177940937381
Feature43,0.009738397512895364
Feature58,0.009597960083434979
Feature23,0.009360949780481558
Feature46,0.007821097931203747
Feature51,0.007510737904037038
Feature32,0.007004238587493689
Feature44,0.006717915375096097
Feature59,0.006701622817975777
Feature26,0.006414538947865367
Feature5,0.00618605040169011
Feature17,0.005592794778446353
Feature42,0.005590036045759917
Feature27,0.005477616447024051
Feature14,0.003836325059334439
Feature62,0.003229610311488308
Feature60,0.0029760398901998927
Feature19,0.0029470121953636434
Feature8,0.002717689339381952
Feature35,0.002640046334515019
Feature13,0.002630015214284263
Feature48,0.0025976151227951037
Feature11,0.002492793214817844
Feature9,0.0024563860303411914
Feature38,0.002243883403328561
Feature24,0.002209885977208615
Feature25,0.0020755045503998808
Feature47,0.0020022464838499784
Feature18,0.001926692901179194
Feature16,0.001652837886164586
Feature20,0.001647850071700907
Feature30,0.0014807754196226606
Feature15,0.0013998096498350288
Feature37,0.0013828075801332793
Feature21,0.0013485522940754851
Feature7,0.0010757356649264691
Feature29,0.0010499456354106519
Feature22,0.0009084427729248988
Feature31,0.0005361225145558528
