Model,AUC,AUC_Std,ACC,ACC_Std,F1,F1_Std,ACC_0,ACC_1,Time
AutoTabPFN,0.7840787357923581,0.09728820868233724,0.6821839080459771,0.09522942067711578,0.7665803961289612,0.07359130383917703,0.42548146298146294,0.8212817639017329,102.07679541110993
PKUPH,0.6521834351865312,0.1431123285646852,0.6789655172413793,0.10685060603662139,0.7648866182899082,0.09005723443980294,0.40316461316461316,0.8329928877452097,0.0001875162124633789
Mayo,0.6019043815661462,0.10610453060133147,0.35954022988505746,0.07472698555734608,0.0,0.0,1.0,0.0,0.00018498897552490234
