feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,tca_improvement
best3,3,0.7709011164274322,0.7049425287356322,0.7861572352907398,0.6979692307692307,0.7046153846153846,0.006646153846153968
best4,4,0.7660552897395002,0.7187356321839081,0.7958404082928159,0.6979692307692307,0.7046153846153846,0.006646153846153968
best5,5,0.7987772461456671,0.7218390804597702,0.7945924956515457,0.6979692307692307,0.7046153846153846,0.006646153846153968
best6,6,0.8152684742158426,0.7285057471264369,0.7983801150228697,0.6979692307692307,0.7046153846153846,0.006646153846153968
best7,7,0.8280435938330675,0.7489655172413794,0.8111816837333434,0.6814769230769231,0.6915692307692307,0.010092307692307623
best8,8,0.8321796916533758,0.7525287356321839,0.815103785103785,0.6979692307692307,0.7046153846153846,0.006646153846153968
best9,9,0.8405316321105796,0.7493103448275863,0.8106737431814832,0.6925538461538461,0.6812307692307693,-0.01132307692307677
best10,10,0.8429133439659754,0.7795402298850574,0.8351388662685195,0.6594461538461538,0.6801230769230769,0.020676923076923148
best11,11,0.8444231791600212,0.7763218390804598,0.8331925605417261,0.6979692307692307,0.7046153846153846,0.006646153846153968
best12,12,0.8381339712918662,0.7695402298850575,0.8276486617160936,0.6979692307692307,0.7046153846153846,0.006646153846153968
best15,15,0.8436629452418927,0.7424137931034482,0.8087245608895837,0.6979692307692307,0.7046153846153846,0.006646153846153968
best20,20,0.8413716108452949,0.7491954022988506,0.8119218369599702,0.6979692307692307,0.7046153846153846,0.006646153846153968
best32,32,0.8251408825093035,0.7525287356321839,0.8182553715427522,0.6979692307692307,0.7046153846153846,0.006646153846153968
